module,file_count,blank_lines,comment_lines,code_lines
api,4,11,0,60
common,4,21,0,101
config,2,7,0,30
controller,8,63,0,399
domain,14,66,3,369
dto,11,40,0,135
other,5,16,0,133
repository,10,49,0,209
router,1,3,0,34
security,5,28,1,187
service,11,33,0,99
service_impl,10,141,0,1101
stores,1,5,0,53
views,7,70,0,778
